domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,containerLocation,sampleID,sampleCode,sampleClass,sampleType,sampleRemarks,namedlocation,collectdate,,,SIRFER ID
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,B5,cfc.JERC013.CLIP-1.20240515.cn,A00000181160,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_013,2024-05-15T12:56,,,24-333.11
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,B6,cfc.JERC008.QUST-1.20240507.cn,A00000181298,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_008,2024-05-07T16:58,,,24-333.12
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,C1,cfc.JERC049.QUIN-1.20240509.cn,A00000181264,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_049,2024-05-09T14:44,,,24-333.13
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,C2,cfc.JERC047.CAGL8-1.20240508.cn,A00000181233,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_047,2024-05-08T15:02,,,24-333.14
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,C3,cfc.JERC021.VAAR-1.20240508.cn,A00000181545,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_021,2024-05-08T07:50,,,24-333.15
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,C4,cfc.JERC057.TAAS-1.20240508.cn,A00000181577,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_057,2024-05-08T13:24,,,24-333.16
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,C5,cfc.JERC014.CLIP-1.20240514.cn,A00000181148,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_014,2024-05-14T15:21,,,24-333.17
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,C6,cfc.JERC054.CAGL8-3.20240509.cn,A00000181301,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_054,2024-05-09T08:13,,,24-333.18
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,D1,cfc.JERC008.SAAL5-1.20240509.cn,A00000181268,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_008,2024-05-09T12:40,,,24-333.19
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,D2,cfc.JERC028.CATO6-2.20240507.cn,A00000181234,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_028,2024-05-07T09:56,,,24-333.20
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,D3,cfc.JERC011.PIPA2-1.20240508.cn,A00000181542,cfc_chemistrySubsampling_in.cnSampleID,standardSample,resinous needle sample only ground to 20 mesh,JERC_011,2024-05-08T14:29,,,24-333.21
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,D4,cfc.JERC016.OSVI-1.20240509.cn,A00000181572,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_016,2024-05-09T16:15,,,24-333.22
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,D5,cfc.JERC057.QUVI-3.20240507.cn,A00000181291,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_057,2024-05-07T14:18,,,24-333.23
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,D6,cfc.JERC008.QUFA-2.20240507.cn,A00000181164,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_008,2024-05-07T16:58,,,24-333.24
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,E1,cfc.JERC030.VIRO3-2.20240507.cn,A00000181271,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_030,2024-05-07T09:59,,,24-333.25
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,E2,cfc.JERC007.PIEL-1.20240507.cn,A00000181237,cfc_chemistrySubsampling_in.cnSampleID,standardSample,resinous needle sample only ground to 20 mesh,JERC_007,2024-05-07T16:09,,,24-333.26
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,E3,cfc.JERC028.JUVI-1.20240509.cn,A00000181143,cfc_chemistrySubsampling_in.cnSampleID,standardSample,resinous needle sample only ground to 20 mesh,JERC_028,2024-05-09T14:24,,,24-333.27
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,E4,cfc.JERC019.CAGL8-2.20240508.cn,A00000181570,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_019,2024-05-08T10:22,,,24-333.28
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,E5,cfc.JERC047.QUMA6-3.20240508.cn,A00000181125,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_047,2024-05-08T15:02,,,24-333.29
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,F1,cfc.JERC016.ULAL-3.20240508.cn,A00000181274,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_016,2024-05-08T08:49,,,24-333.30
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,F2,cfc.JERC028.QUST-1.20240507.cn,A00000181248,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_028,2024-05-07T09:56,,,24-333.31
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,F3,cfc.JERC004.CAIL2-2.20240515.cn,A00000181142,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_004,2024-05-15T11:50,,,24-333.32
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,F4,cfc.JERC051.PIEC2-1.20240506.cn,A00000181566,cfc_chemistrySubsampling_in.cnSampleID,standardSample,resinous needle sample only ground to 20 mesh,JERC_051,2024-05-06T14:17,,,24-333.33
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,F5,cfc.JERC054.PRSE2-1.20240509.cn,A00000181157,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_054,2024-05-09T08:13,,,24-333.34
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,G1,cfc.JERC019.QULA3-3.20240508.cn,A00000181278,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_019,2024-05-08T10:22,,,24-333.35
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,G2,cfc.JERC003.QUNI-2.20240506.cn,A00000181250,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_003,2024-05-06T15:55,,,24-333.36
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,G3,cfc.JERC049.PIPA2-1.20240506.cn,A00000181133,cfc_chemistrySubsampling_in.cnSampleID,standardSample,resinous needle sample only ground to 20 mesh,JERC_049,2024-05-06T14:47,,,24-333.37
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,G4,cfc.JERC019.DIVI5-4.20240508.cn,A00000181565,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_019,2024-05-08T10:22,,,24-333.38
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,G5,cfc.JERC001.QUFA-1.20240507.cn,A00000181147,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_001,2024-05-07T16:04,,,24-333.39
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,H1,cfc.JERC054.ACFL-2.20240509.cn,A00000181279,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_054,2024-05-09T08:13,,,24-333.40
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,H2,cfc.JERC016.QULA3-4.20240508.cn,A00000181239,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_016,2024-05-08T08:49,,,24-333.41
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,H3,cfc.JERC008.PRSE2-3.20240507.cn,A00000181120,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_008,2024-05-07T16:58,,,24-333.42
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,H4,cfc.JERC021.PIPA2-2.20240508.cn,A00000181561,cfc_chemistrySubsampling_in.cnSampleID,standardSample,resinous needle sample only ground to 20 mesh,JERC_021,2024-05-08T07:50,,,24-333.43
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,H5,cfc.JERC014.PRAN3-2.20240514.cn,A00000181158,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_014,2024-05-14T15:21,,,24-333.44
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,I1,cfc.JERC010.QULA2-1.20240509.cn,A00000181282,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_010,2024-05-09T12:46,,,24-333.45
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,I2,cfc.JERC007.CAAM2-1.20240509.cn,A00000181255,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_007,2024-05-09T10:09,,,24-333.46
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,I3,cfc.JERC004.SAAL5-2.20240509.cn,A00000181297,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_004,2024-05-09T08:09,,,24-333.47
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,I4,cfc.JERC030.QUMA6-1.20240507.cn,A00000181557,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_030,2024-05-07T09:59,,,24-333.48
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,I5,cfc.JERC004.CLIP-1.20240515.cn,A00000181129,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_004,2024-05-15T11:50,,,24-333.49
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,J1,cfc.JERC016.CAGL8-1.20240508.cn,A00000181244,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_016,2024-05-08T08:49,,,24-333.50
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,J2,cfc.JERC057.ULAL-2.20240507.cn,A00000181241,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_057,2024-05-07T14:18,,,24-333.51
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,J3,cfc.JERC010.QUMA6-1.20240507.cn,A00000181294,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_010,2024-05-07T13:46,,,24-333.52
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,J4,cfc.JERC057.QUHE2-1.20240507.cn,A00000181555,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_057,2024-05-07T14:18,,,24-333.53
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,J5,cfc.JERC050.PIEC2-1.20240509.cn,A00000181122,cfc_chemistrySubsampling_in.cnSampleID,standardSample,resinous needle sample only ground to 20 mesh,JERC_050,2024-05-09T10:06,,,24-333.54
