domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA005.CELA-1.20240516.cn,A00000459581,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_005,2024-05-16T09:22,,,24-252.11
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA005.FRPE-2.20240516.cn,A00000459742,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_005,2024-05-16T09:22,,,24-252.12
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA009.CATO6-1.20240521.cn,A00000459756,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_009,2024-05-21T09:59,,,24-252.13
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA009.LIST2-2.20240521.cn,A00000459729,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_009,2024-05-21T09:59,,,24-252.14
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA013.CATO6-2.20240515.cn,A00000459723,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_013,2024-05-15T07:15,,,24-252.15
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA013.QUAL-1.20240515.cn,A00000459559,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_013,2024-05-15T07:15,,,24-252.16
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA014.PITA-1.20240515.cn,A00000459758,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_014,2024-05-15T11:51,,,24-252.17
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA016.PITA-1.20240515.cn,A00000459578,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_016,2024-05-15T16:06,,,24-252.18
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA023.QUPA5-1.20240515.cn,A00000459583,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_023,2024-05-15T14:07,,,24-252.19
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA040.ACRU-2.20240514.cn,A00000459591,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_040,2024-05-14T12:11,,,24-252.20
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA040.CELA-1.20240514.cn,A00000459734,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_040,2024-05-14T12:11,,,24-252.21
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA040.FRPE-3.20240514.cn,A00000459596,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_040,2024-05-14T12:11,,,24-252.22
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA040.PLOC-4.20240514.cn,A00000459721,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_040,2024-05-14T12:11,,,24-252.23
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA041.ACRU-1.20240515.cn,A00000459593,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_041,2024-05-15T09:53,,,24-252.24
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA041.DIVI5-3.20240515.cn,A00000459567,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_041,2024-05-15T09:53,,,24-252.25
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA041.FRPE-2.20240515.cn,A00000459600,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_041,2024-05-15T09:53,,,24-252.26
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA043.CATO6-1.20240514.cn,A00000459577,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_043,2024-05-14T15:22,,,24-252.27
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA043.QUMI-2.20240514.cn,A00000459725,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_043,2024-05-14T15:22,,,24-252.28
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA045.CAOV2-1.20240513.cn,A00000459731,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_045,2024-05-13T14:54,,,24-252.29
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA045.CATO6-2.20240513.cn,A00000459770,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_045,2024-05-13T14:54,,,24-252.30
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA045.TIAMA-3.20240513.cn,A00000459767,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_045,2024-05-13T14:54,,,24-252.31
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA046.ACRU-1.20240522.cn,A00000459774,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_046,2024-05-22T09:50,,,24-252.32
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA047.CACO15-1.20240516.cn,A00000459574,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_047,2024-05-16T11:12,,,24-252.33
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA047.QUMI-3.20240516.cn,A00000459748,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_047,2024-05-16T11:12,,,24-252.34
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA047.TRSE6-2.20240516.cn,A00000459754,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_047,2024-05-16T11:12,,,24-252.35
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA048.ACSA2-4.20240516.cn,A00000459727,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_048,2024-05-16T12:50,,,24-252.36
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA048.BENI-5.20240516.cn,A00000459773,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_048,2024-05-16T12:50,,,24-252.37
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA048.FRPE-1.20240516.cn,A00000459732,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_048,2024-05-16T12:50,,,24-252.38
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA048.PLOC-2.20240516.cn,A00000459765,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_048,2024-05-16T12:50,,,24-252.39
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA051.ACRU-1.20240514.cn,A00000459728,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_051,2024-05-14T14:39,,,24-252.40
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA051.LIST2-2.20240514.cn,A00000459590,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_051,2024-05-14T14:39,,,24-252.41
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA052.CAOV2-1.20240515.cn,A00000459597,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_052,2024-05-15T11:11,,,24-252.42
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA054.QULY-1.20240513.cn,A00000459744,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_054,2024-05-13T13:44,,,24-252.43
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA054.QUNI-2.20240513.cn,A00000459737,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_054,2024-05-13T13:44,,,24-252.44
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA054.TADI2-3.20240513.cn,A00000459585,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_054,2024-05-13T13:44,,,24-252.45
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA059.QUMI-1.20240516.cn,A00000459776,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_059,2024-05-16T10:33,,,24-252.46
